date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:04:00	3331/3331	---M-Z	200	added ('OK')	text/html	etag:W/%225fd821db-d03%22	https://febrianrendrars.github.io/foryou/?by=aldo	C:/My%20Web%20Sites/New%20project/febrianrendrars.github.io/foryou/index6cc2.html	(from )
05:04:00	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225e6d6874-239b%22	https://febrianrendrars.github.io/robots.txt		(from )
05:04:01	160392/160392	---M-Z	200	added ('OK')	text/css	etag:W/%2227288-jtLWNQ0j+FfZKAVzfQ+XxnXeZms%22	https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/New%20project/cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/css/bootstrap.min.css	(from https://febrianrendrars.github.io/foryou/?by=aldo)
05:04:01	24459/24459	---M-Z	200	added ('OK')	text/css	etag:W/%225f8b-YmwW9y7XluJ7k8bQcMXGo4d0Th4%22	https://cdn.jsdelivr.net/npm/sweetalert2@10.8.1/dist/sweetalert2.min.css	C:/My%20Web%20Sites/New%20project/cdn.jsdelivr.net/npm/sweetalert2@10.8.1/dist/sweetalert2.min.css	(from https://febrianrendrars.github.io/foryou/?by=aldo)
05:04:01	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites/New%20project/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://febrianrendrars.github.io/foryou/?by=aldo)
05:04:02	11691/11691	---M-Z	200	added ('OK')	application/javascript	etag:W/%225fd821db-2dab%22	https://febrianrendrars.github.io/foryou/script.js	C:/My%20Web%20Sites/New%20project/febrianrendrars.github.io/foryou/script.js	(from https://febrianrendrars.github.io/foryou/?by=aldo)
05:04:02	76130/76130	---M--	200	added ('OK')	image/png	etag:%225fd821db-12962%22	https://febrianrendrars.github.io/foryou/1.png	C:/My%20Web%20Sites/New%20project/febrianrendrars.github.io/foryou/1.png	(from https://febrianrendrars.github.io/foryou/?by=aldo)
05:04:02	9972/9972	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2015%20Dec%202020%2022:04:00%20GMT	https://kit.fontawesome.com/61e5120832.js	C:/My%20Web%20Sites/New%20project/kit.fontawesome.com/61e5120832.js	(from https://febrianrendrars.github.io/foryou/?by=aldo)
05:04:02	72380/72380	---M-Z	200	added ('OK')	application/javascript	etag:W/%225eb09f0f-11abc%22	https://code.jquery.com/jquery-3.5.1.slim.min.js	C:/My%20Web%20Sites/New%20project/code.jquery.com/jquery-3.5.1.slim.min.js	(from https://febrianrendrars.github.io/foryou/?by=aldo)
05:04:02	84152/84152	---M-Z	200	added ('OK')	application/javascript	etag:W/%22148b8-qycDEVlyTiQh9v9ccPSOZXq+nTk%22	https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/New%20project/cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.bundle.min.js	(from https://febrianrendrars.github.io/foryou/?by=aldo)
05:04:03	69356/69356	---M-Z	200	added ('OK')	application/javascript	etag:W/%2210eec-KL5ZZ72vGEI+XwNhcSdhqckLz3k%22	https://cdn.jsdelivr.net/npm/sweetalert2@10.8.1/dist/sweetalert2.all.min.js	C:/My%20Web%20Sites/New%20project/cdn.jsdelivr.net/npm/sweetalert2@10.8.1/dist/sweetalert2.all.min.js	(from https://febrianrendrars.github.io/foryou/?by=aldo)
